Sentence	Label
Patients at higher risk of Aspergillus pulmonary colonization included those with liver cirrhosis, hematologic malignancy, H1N1pdm09 influenza A virus, and requiring vasopressors	0
Our results provide additional data on the controversial association between severe influenza and invasive pulmonary aspergillosis	1
Acute respiratory infections are one of the leading causes of death in children and adults, and influenza is among the few respiratory infections that can be prevented and treated by vaccination and antiviral treatment	1
Compared with HIV-monoinfected persons, coinfected individuals experience more rapid progression of fibrosis and higher incidence of cirrhosis and death as a result of liver disease	1
Compared with HIV-monoinfected persons, coinfected individuals experience more rapid progression of fibrosis and higher incidence of cirrhosis and death as a result of liver disease	1
Compared with HIV-monoinfected persons, coinfected individuals experience more rapid progression of fibrosis and higher incidence of cirrhosis and death as a result of liver disease	1
Compared with HIV-monoinfected persons, coinfected individuals experience more rapid progression of fibrosis and higher incidence of cirrhosis and death as a result of liver disease	1
Treatment for HCV infection includes ribavirin (RBV) plus interferon alfa (IFN-alpha) or pegylated IFN, a combination treatment associated with anemia that may require RBV dose reduction or discontinuation	0
Epoetin alfa administration to HCV-infected patients with IFN-RBV-related anemia can significantly increase hemoglobin levels and maintain significantly higher RBV doses compared with patients treated with RBV dose reduction alone	0
Mucosal disease-like lesions in sheep infected with Border disease virus	1
The review covers nonalcoholic fatty liver disease, viral hepatitis B and C, coinfection of viral hepatitis with human immunodeficiency virus, alcoholic cirrhosis, hepatocellular carcinoma, autoimmune hepatitis, and primary biliary cirrhosis	0
The review covers nonalcoholic fatty liver disease, viral hepatitis B and C, coinfection of viral hepatitis with human immunodeficiency virus, alcoholic cirrhosis, hepatocellular carcinoma, autoimmune hepatitis, and primary biliary cirrhosis	0
The review covers nonalcoholic fatty liver disease, viral hepatitis B and C, coinfection of viral hepatitis with human immunodeficiency virus, alcoholic cirrhosis, hepatocellular carcinoma, autoimmune hepatitis, and primary biliary cirrhosis	0
The review covers nonalcoholic fatty liver disease, viral hepatitis B and C, coinfection of viral hepatitis with human immunodeficiency virus, alcoholic cirrhosis, hepatocellular carcinoma, autoimmune hepatitis, and primary biliary cirrhosis	0
The review covers nonalcoholic fatty liver disease, viral hepatitis B and C, coinfection of viral hepatitis with human immunodeficiency virus, alcoholic cirrhosis, hepatocellular carcinoma, autoimmune hepatitis, and primary biliary cirrhosis	0
The review covers nonalcoholic fatty liver disease, viral hepatitis B and C, coinfection of viral hepatitis with human immunodeficiency virus, alcoholic cirrhosis, hepatocellular carcinoma, autoimmune hepatitis, and primary biliary cirrhosis	0
The review covers nonalcoholic fatty liver disease, viral hepatitis B and C, coinfection of viral hepatitis with human immunodeficiency virus, alcoholic cirrhosis, hepatocellular carcinoma, autoimmune hepatitis, and primary biliary cirrhosis	0
Hepatitis C virus (HCV) recurrence after liver transplantation (LT) is universal and progressive	0
For any degree of fibrosis, >= moderate inflammation on histology or HCV hepatitis accompanying with abnormal liver function, we treated with pegylated interferon and ribavirin	0
For any degree of fibrosis, >= moderate inflammation on histology or HCV hepatitis accompanying with abnormal liver function, we treated with pegylated interferon and ribavirin	0
For any degree of fibrosis, >= moderate inflammation on histology or HCV hepatitis accompanying with abnormal liver function, we treated with pegylated interferon and ribavirin	0
Pneumonia caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) infection emerged in Wuhan City, Hubei Province, China in December 2019	1
Pneumonia caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) infection emerged in Wuhan City, Hubei Province, China in December 2019	1
11, 2020, the World Health Organization (WHO) officially named the disease resulting from infection with SARS-CoV-2 as coronavirus disease 2019 (COVID-19)	1
11, 2020, the World Health Organization (WHO) officially named the disease resulting from infection with SARS-CoV-2 as coronavirus disease 2019 (COVID-19)	1
HIV is associated with a broad spectrum of disease, including AIDS	1
Bovine leukemia virus (BLV) is predominantly a B-cell tropic retrovirus, which induces persistent lymphocytosis and leukemia/lymphoma of B-cell lineage in cattle	1
Bovine leukemia virus (BLV) is predominantly a B-cell tropic retrovirus, which induces persistent lymphocytosis and leukemia/lymphoma of B-cell lineage in cattle	1
The majority of the tumors were positive for high-risk HPV16/18 (60.7%)	0
BACKGROUND: Respiratory syncytial virus (RSV) is the leading viral pathogen associated with bronchiolitis and lower respiratory tract disease in infants and young children worldwide	1
BACKGROUND: Respiratory syncytial virus (RSV) is the leading viral pathogen associated with bronchiolitis and lower respiratory tract disease in infants and young children worldwide	1
BACKGROUND: Respiratory syncytial virus (RSV) is the leading viral pathogen associated with bronchiolitis and lower respiratory tract disease in infants and young children worldwide	1
BACKGROUND: Respiratory syncytial virus (RSV) is the leading viral pathogen associated with bronchiolitis and lower respiratory tract disease in infants and young children worldwide	1
The respiratory epithelium is the primary initiator of pulmonary inflammation in RSV infections, which cause significant perturbations of global gene expression controlling multiple cellular processes	1
The respiratory epithelium is the primary initiator of pulmonary inflammation in RSV infections, which cause significant perturbations of global gene expression controlling multiple cellular processes	1
Univariate and multivariate analyses using age, gender, habitual drinking, tobacco exposure, diabetes mellitus, serum alanine aminotransferase level, HCV genotype, hepatic fibrosis, inflammation, steatosis, and 8-OHdG expression in liver biopsy specimens were conducted to identify factors related to the development of HCC	0
Univariate and multivariate analyses using age, gender, habitual drinking, tobacco exposure, diabetes mellitus, serum alanine aminotransferase level, HCV genotype, hepatic fibrosis, inflammation, steatosis, and 8-OHdG expression in liver biopsy specimens were conducted to identify factors related to the development of HCC	0
Univariate and multivariate analyses using age, gender, habitual drinking, tobacco exposure, diabetes mellitus, serum alanine aminotransferase level, HCV genotype, hepatic fibrosis, inflammation, steatosis, and 8-OHdG expression in liver biopsy specimens were conducted to identify factors related to the development of HCC	0
Univariate and multivariate analyses using age, gender, habitual drinking, tobacco exposure, diabetes mellitus, serum alanine aminotransferase level, HCV genotype, hepatic fibrosis, inflammation, steatosis, and 8-OHdG expression in liver biopsy specimens were conducted to identify factors related to the development of HCC	0
Univariate and multivariate analyses using age, gender, habitual drinking, tobacco exposure, diabetes mellitus, serum alanine aminotransferase level, HCV genotype, hepatic fibrosis, inflammation, steatosis, and 8-OHdG expression in liver biopsy specimens were conducted to identify factors related to the development of HCC	0
NYVAC has been engineered as a safe, attenuated vaccinia virus (VV) vector for use in vaccination against a broad spectrum of pathogens and tumors	0
Our study focused on the regulation of the MAPK-mediated Op18/stathmin signaling pathway, which is triggered by the Epstein-Barr virus-encoded latent membrane protein 1 ( LMP1) oncogene in nasopharyngeal carcinoma cells	0
J2N-k hamster model simulates severe infection caused by severe acute respiratory syndrome coronavirus 2 in patients with cardiovascular diseases	1
Pathological features of SARS-CoV-2-associated lung injury were observed in both models	1
Prevalence of mycosis fungoides and its association with EBV and HTLV-1 in Pakistanian patients	0
OBJECTIVE: To evaluate the efficacy of folate receptor-mediated tumor detection (FRD) for identifying high-grade intraepithelial squamous lesions (HSIL) in the triage of women who are positive for human papillomavirus (HPV), and those with cytology findings of atypical squamous cells of undetermined significance (ASCUS)	0
OBJECTIVE: To evaluate the efficacy of folate receptor-mediated tumor detection (FRD) for identifying high-grade intraepithelial squamous lesions (HSIL) in the triage of women who are positive for human papillomavirus (HPV), and those with cytology findings of atypical squamous cells of undetermined significance (ASCUS)	0
OBJECTIVE: To evaluate the efficacy of folate receptor-mediated tumor detection (FRD) for identifying high-grade intraepithelial squamous lesions (HSIL) in the triage of women who are positive for human papillomavirus (HPV), and those with cytology findings of atypical squamous cells of undetermined significance (ASCUS)	0
OBJECTIVE: To evaluate the efficacy of folate receptor-mediated tumor detection (FRD) for identifying high-grade intraepithelial squamous lesions (HSIL) in the triage of women who are positive for human papillomavirus (HPV), and those with cytology findings of atypical squamous cells of undetermined significance (ASCUS)	0
A restricted policy on high risk groups (roughly 10% in a pediatric population, all medical conditions including asthma, for whom influenza vaccine coverage is a 15-75% range) is far below the estimated threshold of 45% coverage rate to limit the virus circulation by an indirect impact during seasonal epidemics	0
The results of specificity studies utilizing cytotoxic effector lymphocytes obtained by in vitro immunization indicate that SV40 transformation results in the expression of tumor-specific antigens which are recognized by cytotoxic effector cells	1
Biopsy revealed histologic findings of lymphangioma-like KS (LLKS), together with areas of classic KS; HHV-8 staining was positive	0
Biopsy revealed histologic findings of lymphangioma-like KS (LLKS), together with areas of classic KS; HHV-8 staining was positive	0
Biopsy revealed histologic findings of lymphangioma-like KS (LLKS), together with areas of classic KS; HHV-8 staining was positive	0
Our results strongly support the liquid-liquid phase separation nature of IBs and pave the way for further characterization of their dynamics.IMPORTANCE Respiratory syncytial virus (RSV) is the leading cause of lower respiratory tract illness in infants, elderly, and immunocompromised people	1
Our results strongly support the liquid-liquid phase separation nature of IBs and pave the way for further characterization of their dynamics.IMPORTANCE Respiratory syncytial virus (RSV) is the leading cause of lower respiratory tract illness in infants, elderly, and immunocompromised people	1
The Abbott RealTime HCV Genotype II assay (Abbott-RT-HCV assay) is a real-time PCR based genotyping method for hepatitis C virus (HCV)	0
The Abbott RealTime HCV Genotype II assay (Abbott-RT-HCV assay) is a real-time PCR based genotyping method for hepatitis C virus (HCV)	0
The Abbott RealTime HCV Genotype II assay (Abbott-RT-HCV assay) is a real-time PCR based genotyping method for hepatitis C virus (HCV)	0
BACKGROUND: Novel coronavirus (SARS-CoV-2) became an epidemic disease and lead to a pneumonia outbreak first in December 2019 in Wuhan, China	1
BACKGROUND: Novel coronavirus (SARS-CoV-2) became an epidemic disease and lead to a pneumonia outbreak first in December 2019 in Wuhan, China	1
White spot syndrome virus (WSSV), the causative agent of white spot disease (WSD), is a serious and aggressive shrimp viral pathogen with a worldwide distribution	1
White spot syndrome virus (WSSV), the causative agent of white spot disease (WSD), is a serious and aggressive shrimp viral pathogen with a worldwide distribution	1
White spot syndrome virus (WSSV), the causative agent of white spot disease (WSD), is a serious and aggressive shrimp viral pathogen with a worldwide distribution	1
White spot syndrome virus (WSSV), the causative agent of white spot disease (WSD), is a serious and aggressive shrimp viral pathogen with a worldwide distribution	1
Here we show that unlike the lipogenesis that is seen in cancer cells that are undergoing the Warburg effect, at 12 hpi, all of the long chain fatty acids (LCFAs) were significantly decreased in the stomach cells of WSSV-infected shrimp	0
Mathematically, the model is a system of non linear first order differential equations, in which each function is a related class of individuals (susceptible, infectious, carrier, immune and death by HBV) in the evolution of the HBV	1
Mathematically, the model is a system of non linear first order differential equations, in which each function is a related class of individuals (susceptible, infectious, carrier, immune and death by HBV) in the evolution of the HBV	0
A potential role for A20, a novel zinc finger protein, in inhibiting B-cell apoptosis was suggested by our previous finding that it is induced by the Epstein-Barr virus LMP-1 gene product, a potent cell death inhibitor	0
Since the outbreak of 2019 novel coronavirus disease (COVID-19) induced by a severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), the pandemic has become a global catastrophe	1
Since the outbreak of 2019 novel coronavirus disease (COVID-19) induced by a severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), the pandemic has become a global catastrophe	1
Since the outbreak of 2019 novel coronavirus disease (COVID-19) induced by a severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), the pandemic has become a global catastrophe	1
Since the outbreak of 2019 novel coronavirus disease (COVID-19) induced by a severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), the pandemic has become a global catastrophe	1
Patients with cancer especially lung cancer are more vulnerable and susceptible to get infected by the virus SARS-CoV-2	0
Patients with cancer especially lung cancer are more vulnerable and susceptible to get infected by the virus SARS-CoV-2	0
Viremia was associated with onset of illness in the first 5 days of life, low initial serum neutralization titer, and the presence of echovirus serotypes	1
The COVID-19 virus's rapid global spread has caused millions of illnesses and deaths	1
The contribution of ZIKV NS1 to placental dysfunction during ZIKV infection remains unknown	0
The contribution of ZIKV NS1 to placental dysfunction during ZIKV infection remains unknown	0
All the isolates were evaluated for their antiviral activity against herpes simplex virus type 1 (HSV-1) and their cytotoxicity against human liver carcinoma HepG2 cell line in vitro	0
All the isolates were evaluated for their antiviral activity against herpes simplex virus type 1 (HSV-1) and their cytotoxicity against human liver carcinoma HepG2 cell line in vitro	0
All the isolates were evaluated for their antiviral activity against herpes simplex virus type 1 (HSV-1) and their cytotoxicity against human liver carcinoma HepG2 cell line in vitro	0
All the isolates were evaluated for their antiviral activity against herpes simplex virus type 1 (HSV-1) and their cytotoxicity against human liver carcinoma HepG2 cell line in vitro	0
In this study, we used a mouse model of RVFV infection to demonstrate that CD4 T cells, CD8 T cells, and monocytes all contribute to prevention of encephalitis	0
We preferentially included studies of contact tracing during infectious disease outbreaks (including COVID-19, Ebola, tuberculosis, severe acute respiratory syndrome virus, and Middle East respiratory syndrome) as direct evidence, but considered comparative studies of contact tracing outside an outbreak as indirect evidence	0
We preferentially included studies of contact tracing during infectious disease outbreaks (including COVID-19, Ebola, tuberculosis, severe acute respiratory syndrome virus, and Middle East respiratory syndrome) as direct evidence, but considered comparative studies of contact tracing outside an outbreak as indirect evidence	0
We preferentially included studies of contact tracing during infectious disease outbreaks (including COVID-19, Ebola, tuberculosis, severe acute respiratory syndrome virus, and Middle East respiratory syndrome) as direct evidence, but considered comparative studies of contact tracing outside an outbreak as indirect evidence	0
We preferentially included studies of contact tracing during infectious disease outbreaks (including COVID-19, Ebola, tuberculosis, severe acute respiratory syndrome virus, and Middle East respiratory syndrome) as direct evidence, but considered comparative studies of contact tracing outside an outbreak as indirect evidence	0
We preferentially included studies of contact tracing during infectious disease outbreaks (including COVID-19, Ebola, tuberculosis, severe acute respiratory syndrome virus, and Middle East respiratory syndrome) as direct evidence, but considered comparative studies of contact tracing outside an outbreak as indirect evidence	0
We preferentially included studies of contact tracing during infectious disease outbreaks (including COVID-19, Ebola, tuberculosis, severe acute respiratory syndrome virus, and Middle East respiratory syndrome) as direct evidence, but considered comparative studies of contact tracing outside an outbreak as indirect evidence	0
Any successful model of HCV pathogenesis must explain how the characteristic features of cirrhosis and end-stage liver disease arise	1
Any successful model of HCV pathogenesis must explain how the characteristic features of cirrhosis and end-stage liver disease arise	1
HCV is characterized by slow progression of fibrogenesis and, importantly, cirrhosis seems to develop only after a long latency (and only in a subset of patients)	1
Among the prognostic factors of disease progression, the age at infection with the HCV virus and the presence of fibrosis appear to be highly relevant in predicting the development of progressive fibrosis	1
Among the prognostic factors of disease progression, the age at infection with the HCV virus and the presence of fibrosis appear to be highly relevant in predicting the development of progressive fibrosis	1
The telomere model of HCV pathogenesis suggests that hepatocyte damage plays an essential role in the development of cirrhosis	1
The overall rate of confirmed pandemic (H1N1) 2009 influenza (H1N1pdm) deaths was 7.6 (6.2-9.5) per 100,000 infections	1
The overall rate of confirmed pandemic (H1N1) 2009 influenza (H1N1pdm) deaths was 7.6 (6.2-9.5) per 100,000 infections	1
BACKGROUND: Hepatocellular carcinoma (HCC) occurs more frequently in patients with hepatitis C virus (HCV)-related chronic liver disease than those with hepatitis B virus-related disease	1
BACKGROUND: Hepatocellular carcinoma (HCC) occurs more frequently in patients with hepatitis C virus (HCV)-related chronic liver disease than those with hepatitis B virus-related disease	1
BACKGROUND: Hepatocellular carcinoma (HCC) occurs more frequently in patients with hepatitis C virus (HCV)-related chronic liver disease than those with hepatitis B virus-related disease	1
BACKGROUND: Hepatocellular carcinoma (HCC) occurs more frequently in patients with hepatitis C virus (HCV)-related chronic liver disease than those with hepatitis B virus-related disease	0
Here, we sought to establish an adeno-associated virus (AAV)-CasRx-guide RNA (gRNA) system for the specific knockdown of Htra2 transcript to protect mice from aminoglycosides-induced hearing loss	0
The detection of biomarkers of oxidative stress in brain tissue and cerebrospinal fluid of patients with human immunodeficiency virus, type 1 (HIV)-associated dementia indicates the involvement of stress pathways in the neuropathogenesis of AIDS	1
The detection of biomarkers of oxidative stress in brain tissue and cerebrospinal fluid of patients with human immunodeficiency virus, type 1 (HIV)-associated dementia indicates the involvement of stress pathways in the neuropathogenesis of AIDS	1
Although the biological importance of oxidative stress on events involved in AIDS neuropathogenesis and the HIV-1 proteins responsible for oxidative stress remain to be elucidated, our results point to the activation of hypoxia-inducible factor 1 (HIF-1) upon HIV-1 infection and its elevation in brain cells of AIDS patients with dementia	0
Although the biological importance of oxidative stress on events involved in AIDS neuropathogenesis and the HIV-1 proteins responsible for oxidative stress remain to be elucidated, our results point to the activation of hypoxia-inducible factor 1 (HIF-1) upon HIV-1 infection and its elevation in brain cells of AIDS patients with dementia	1
Although the biological importance of oxidative stress on events involved in AIDS neuropathogenesis and the HIV-1 proteins responsible for oxidative stress remain to be elucidated, our results point to the activation of hypoxia-inducible factor 1 (HIF-1) upon HIV-1 infection and its elevation in brain cells of AIDS patients with dementia	0
Although the biological importance of oxidative stress on events involved in AIDS neuropathogenesis and the HIV-1 proteins responsible for oxidative stress remain to be elucidated, our results point to the activation of hypoxia-inducible factor 1 (HIF-1) upon HIV-1 infection and its elevation in brain cells of AIDS patients with dementia	0
Interestingly, increased levels of HIF-1alpha stimulated HIV-1 gene transcription through HIF-1 association with HIV-1 long terminal repeat	1
In the present study we tested if the Bovine Viral Diarrhea Virus (BVDV), the most common pathogen underlying immunosuppressive Bovine Viral Diarrhoea (BVD), can enhance the occurrence of opportunistic infections with E	1
In the present study we tested if the Bovine Viral Diarrhea Virus (BVDV), the most common pathogen underlying immunosuppressive Bovine Viral Diarrhoea (BVD), can enhance the occurrence of opportunistic infections with E	1
Mice infected with the neurotropic JHM strain of mouse hepatitis virus (JHMV) develop acute and chronic demyelinating diseases with histopathological similarities to multiple sclerosis	1
Mice infected with the neurotropic JHM strain of mouse hepatitis virus (JHMV) develop acute and chronic demyelinating diseases with histopathological similarities to multiple sclerosis	0
RESULTS: The risk of CKD was significantly higher in the HBV cohort (13-year cumulative incidence, 6.2 %; 95 % confidence interval [CI], 5.4-7.1 %) than in the non-HBV cohort (2.7 %; 95 % CI, 2.5-3.0 %) (p < 0.001), and the aHR was 2.58 (95 % CI, 1.95-3.42; p < 0.001)	1
RESULTS: The risk of CKD was significantly higher in the HBV cohort (13-year cumulative incidence, 6.2 %; 95 % confidence interval [CI], 5.4-7.1 %) than in the non-HBV cohort (2.7 %; 95 % CI, 2.5-3.0 %) (p < 0.001), and the aHR was 2.58 (95 % CI, 1.95-3.42; p < 0.001)	1
Multivariable stratified analysis further verified significant associations of CKD with HBV in men of any age (aHR, 2.98; 95 % CI, 2.32-3.83, p < 0.001 for men aged <50 years; aHR, 1.58; 95 % CI, 1.31-1.91, p < 0.001 for men aged   50 years) and women under the age of 50 (aHR, 2.99; 95 % CI, 2.04-4.42, p < 0.001), but no significant association in women aged 50 or over	1
CONCLUSION: Untreated chronic HBV infection is associated with increased risk of CKD	1
Human metapneumovirus (HMPV) is a newly discovered pathogen thought to be associated with respiratory disease	1
Human metapneumovirus (HMPV) is a newly discovered pathogen thought to be associated with respiratory disease	1
HMPV infection was associated with clinical diagnoses of pneumonia (36%), asthma exacerbation (23%), or acute bronchiolitis (10%)	1
HMPV infection was associated with clinical diagnoses of pneumonia (36%), asthma exacerbation (23%), or acute bronchiolitis (10%)	1
HMPV infection was associated with clinical diagnoses of pneumonia (36%), asthma exacerbation (23%), or acute bronchiolitis (10%)	1
When compared to those with respiratory syncytial virus infection, children with HMPV infection were older, and wheezing was more likely to represent asthma exacerbation rather than acute bronchiolitis	1
When compared to those with respiratory syncytial virus infection, children with HMPV infection were older, and wheezing was more likely to represent asthma exacerbation rather than acute bronchiolitis	1
When compared to those with respiratory syncytial virus infection, children with HMPV infection were older, and wheezing was more likely to represent asthma exacerbation rather than acute bronchiolitis	0
METHODS: Individuals aged 18 years and above tested positive for SARS-CoV-2 in PCR with presenting COVID-related radiological findings, hospitalized for at least three days, and completed follow-up between March 15, 2020, and November 30, 2020, were included in the study	0
Primary HIV-1 infection (PHI) is marked by a flu-like syndrome and high levels of viremia that decrease to a viral set point with the first emergence of virus-specific CD8+ T-cell responses	1
Nonideal nighttime sleep, long PD duration, advanced H&Y stages, posture instability gait difficulty-dominant or mixed subtypes, and high levodopa dose were independently associated with increased risk of EMO	0
Adoptive transfer of spleen cells and thymocytes from animals preconditioned with saponin (SAP), inactivated rabies antigen (AG), or a mixture of AG+SAP has offered significant protection against an intracerebral challenge with live rabies virus	1
We discuss the relationship between the infection by HPV and the development of condyloma acuminatum, its evolution toward a well-differentiated squamous carcinoma, and its distinction from verrucous carcinoma	1
We discuss the relationship between the infection by HPV and the development of condyloma acuminatum, its evolution toward a well-differentiated squamous carcinoma, and its distinction from verrucous carcinoma	0
We discuss the relationship between the infection by HPV and the development of condyloma acuminatum, its evolution toward a well-differentiated squamous carcinoma, and its distinction from verrucous carcinoma	0
RESULTS: Histopathologic examination of the specimen revealed tumor cells of PBL, and subsequent HIV testing was positive	0
RESULTS: Histopathologic examination of the specimen revealed tumor cells of PBL, and subsequent HIV testing was positive	1
The GBT cells retained surface B1 histocompatibility antigen of the original tumor as well as Marek's disease tumor-specific surface antigen (MATSA); however, infectious Marek's disease virus was not detected by immunofluorescence, electron microscopy, inoculation into susceptible birds, or assay on susceptible cells in culture	0
The GBT cells retained surface B1 histocompatibility antigen of the original tumor as well as Marek's disease tumor-specific surface antigen (MATSA); however, infectious Marek's disease virus was not detected by immunofluorescence, electron microscopy, inoculation into susceptible birds, or assay on susceptible cells in culture	0
Blood Epstein-Barr virus DNA load and risk of progression to AIDS-related systemic B lymphoma	0
Blood Epstein-Barr virus DNA load and risk of progression to AIDS-related systemic B lymphoma	1
Although most ARLs are associated with the Epstein-Barr virus (EBV), whether patients with high EBV burden are more at risk of developing ARL is unknown	1
Although most ARLs are associated with the Epstein-Barr virus (EBV), whether patients with high EBV burden are more at risk of developing ARL is unknown	1
Although most ARLs are associated with the Epstein-Barr virus (EBV), whether patients with high EBV burden are more at risk of developing ARL is unknown	0
This study investigated the relationship between high blood EBV DNA loads and subsequent progression to ARL	0
RESULTS: High levels of EBV DNA in PBMCs collected a median of 10 months before diagnosis were associated with an increased risk of developing systemic B lymphoma (adjusted odds ratio 2.47; 95% confidence interval 1.15; 5.32 for each 1 log copies/10(6) PBMC increase in EBV load) but not with primary brain lymphoma	1
RESULTS: High levels of EBV DNA in PBMCs collected a median of 10 months before diagnosis were associated with an increased risk of developing systemic B lymphoma (adjusted odds ratio 2.47; 95% confidence interval 1.15; 5.32 for each 1 log copies/10(6) PBMC increase in EBV load) but not with primary brain lymphoma	0
RESULTS: High levels of EBV DNA in PBMCs collected a median of 10 months before diagnosis were associated with an increased risk of developing systemic B lymphoma (adjusted odds ratio 2.47; 95% confidence interval 1.15; 5.32 for each 1 log copies/10(6) PBMC increase in EBV load) but not with primary brain lymphoma	0
RESULTS: High levels of EBV DNA in PBMCs collected a median of 10 months before diagnosis were associated with an increased risk of developing systemic B lymphoma (adjusted odds ratio 2.47; 95% confidence interval 1.15; 5.32 for each 1 log copies/10(6) PBMC increase in EBV load) but not with primary brain lymphoma	0
CONCLUSION: In this study, HIV-infected patients with undetectable EBV DNA in PBMCs did not develop ARL in the following 3 years, while high levels of EBV DNA in PBMCs predicted subsequent progression to systemic B lymphoma	0
CONCLUSION: In this study, HIV-infected patients with undetectable EBV DNA in PBMCs did not develop ARL in the following 3 years, while high levels of EBV DNA in PBMCs predicted subsequent progression to systemic B lymphoma	0
CONCLUSION: In this study, HIV-infected patients with undetectable EBV DNA in PBMCs did not develop ARL in the following 3 years, while high levels of EBV DNA in PBMCs predicted subsequent progression to systemic B lymphoma	0
CONCLUSION: In this study, HIV-infected patients with undetectable EBV DNA in PBMCs did not develop ARL in the following 3 years, while high levels of EBV DNA in PBMCs predicted subsequent progression to systemic B lymphoma	1
BACKGROUND & AIMS: Hepatitis C virus (HCV) is associated with development of B-cell non-Hodgkin lymphoma (HCV-NHL)	0
BACKGROUND & AIMS: Hepatitis C virus (HCV) is associated with development of B-cell non-Hodgkin lymphoma (HCV-NHL)	1
